decoy,selected,extra
-728,728,10728
-729,729,10729
-730,730,10730
-731,731,10731
-732,732,10732
-733,733,10733
-734,734,10734
-735,735,10735
-736,736,10736
-737,737,10737
-738,738,10738
-739,739,10739
-740,740,10740
-741,741,10741
-742,742,10742
-743,743,10743
-744,744,10744
-745,745,10745
-746,746,10746
-747,747,10747
-748,748,10748
-749,749,10749
-750,750,10750
-751,751,10751
-752,752,10752
-753,753,10753
-754,754,10754
-755,755,10755
-756,756,10756
-757,757,10757
-758,758,10758
-759,759,10759
-760,760,10760
-761,761,10761
-762,762,10762
-763,763,10763
-764,764,10764
-765,765,10765
-766,766,10766
-767,767,10767
-768,768,10768
-769,769,10769
-770,770,10770
-771,771,10771
-772,772,10772
-773,773,10773
-774,774,10774
-775,775,10775
-776,776,10776
-777,777,10777
-778,778,10778
-779,779,10779
-780,780,10780
-781,781,10781
-782,782,10782
-783,783,10783
-784,784,10784
-785,785,10785
-786,786,10786
-787,787,10787
-788,788,10788
-789,789,10789
-790,790,10790
-791,791,10791
-792,792,10792
-793,793,10793
-794,794,10794
-795,795,10795
-796,796,10796
-797,797,10797
-798,798,10798
-799,799,10799
-800,800,10800
-801,801,10801
-802,802,10802
-803,803,10803
-804,804,10804
-805,805,10805
-806,806,10806
-807,807,10807
-808,808,10808
-809,809,10809
-810,810,10810
-811,811,10811
-812,812,10812
-813,813,10813
-814,814,10814
-815,815,10815
-816,816,10816
-817,817,10817
-818,818,10818
-819,819,10819
-820,820,10820
-821,821,10821
-822,822,10822
-823,823,10823
-824,824,10824
-825,825,10825
-826,826,10826
-827,827,10827
-828,828,10828
-829,829,10829
-830,830,10830
-831,831,10831
-832,832,10832
-833,833,10833
-834,834,10834
-835,835,10835
-836,836,10836
-837,837,10837
-838,838,10838
-839,839,10839
-840,840,10840
-841,841,10841
-842,842,10842
-843,843,10843
-844,844,10844
-845,845,10845
-846,846,10846
-847,847,10847
-848,848,10848
-849,849,10849
-850,850,10850
-851,851,10851
-852,852,10852
-853,853,10853
-854,854,10854
-855,855,10855
-856,856,10856
-857,857,10857
-858,858,10858
-859,859,10859
-860,860,10860
-861,861,10861
-862,862,10862
-863,863,10863
-864,864,10864
-865,865,10865
-866,866,10866
-867,867,10867
-868,868,10868
-869,869,10869
-870,870,10870
-871,871,10871
-872,872,10872
-873,873,10873
-874,874,10874
-875,875,10875
-876,876,10876
-877,877,10877
-878,878,10878
-879,879,10879
-880,880,10880
-881,881,10881
-882,882,10882
-883,883,10883
-884,884,10884
-885,885,10885
-886,886,10886
-887,887,10887
-888,888,10888
-889,889,10889
-890,890,10890
-891,891,10891
-892,892,10892
-893,893,10893
-894,894,10894
-895,895,10895
-896,896,10896
-897,897,10897
-898,898,10898
-899,899,10899
-900,900,10900
-901,901,10901
-902,902,10902
-903,903,10903
-904,904,10904
-905,905,10905
-906,906,10906
-907,907,10907
-908,908,10908
-909,909,10909
-910,910,10910
-911,911,10911
-912,912,10912
-913,913,10913
-914,914,10914
-915,915,10915
-916,916,10916
-917,917,10917
-918,918,10918
-919,919,10919
-920,920,10920
-921,921,10921
-922,922,10922
-923,923,10923
-924,924,10924
-925,925,10925
-926,926,10926
-927,927,10927
-928,928,10928
-929,929,10929
-930,930,10930
-931,931,10931
-932,932,10932
-933,933,10933
-934,934,10934
-935,935,10935
-936,936,10936
-937,937,10937
-938,938,10938
-939,939,10939
-940,940,10940
-941,941,10941
-942,942,10942
-943,943,10943
-944,944,10944
-945,945,10945
-946,946,10946
-947,947,10947
-948,948,10948
-949,949,10949
-950,950,10950
-951,951,10951
-952,952,10952
-953,953,10953
-954,954,10954
-955,955,10955
-956,956,10956
-957,957,10957
-958,958,10958
-959,959,10959
-960,960,10960
-961,961,10961
-962,962,10962
-963,963,10963
-964,964,10964
-965,965,10965
-966,966,10966
-967,967,10967
-968,968,10968
-969,969,10969
-970,970,10970
-971,971,10971
-972,972,10972
-973,973,10973
-974,974,10974
-975,975,10975
-976,976,10976
-977,977,10977
-978,978,10978
-979,979,10979
-980,980,10980
-981,981,10981
-982,982,10982
-983,983,10983
-984,984,10984
-985,985,10985
-986,986,10986
-987,987,10987
-988,988,10988
-989,989,10989
-990,990,10990
-991,991,10991
-992,992,10992
-993,993,10993
-994,994,10994
-995,995,10995
-996,996,10996
-997,997,10997
-998,998,10998
-999,999,10999
-1000,1000,11000
-1001,1001,11001
-1002,1002,11002
-1003,1003,11003
-1004,1004,11004
-1005,1005,11005
-1006,1006,11006
-1007,1007,11007
-1008,1008,11008
-1009,1009,11009
-1010,1010,11010
-1011,1011,11011
-1012,1012,11012
-1013,1013,11013
-1014,1014,11014
-1015,1015,11015
-1016,1016,11016
-1017,1017,11017
-1018,1018,11018
-1019,1019,11019
-1020,1020,11020
-1021,1021,11021
-1022,1022,11022
-1023,1023,11023
-1024,1024,11024
-1025,1025,11025
-1026,1026,11026
-1027,1027,11027
-1028,1028,11028
-1029,1029,11029
-1030,1030,11030
-1031,1031,11031
-1032,1032,11032
-1033,1033,11033
-1034,1034,11034
-1035,1035,11035
-1036,1036,11036
-1037,1037,11037
-1038,1038,11038
-1039,1039,11039
-1040,1040,11040
-1041,1041,11041
-1042,1042,11042
-1043,1043,11043
-1044,1044,11044
-1045,1045,11045
-1046,1046,11046
-1047,1047,11047
-1048,1048,11048
-1049,1049,11049
-1050,1050,11050
-1051,1051,11051
-1052,1052,11052
-1053,1053,11053
-1054,1054,11054
-1055,1055,11055
-1056,1056,11056
-1057,1057,11057
-1058,1058,11058
-1059,1059,11059
-1060,1060,11060
-1061,1061,11061
-1062,1062,11062
-1063,1063,11063
-1064,1064,11064
-1065,1065,11065
-1066,1066,11066
-1067,1067,11067
-1068,1068,11068
-1069,1069,11069
-1070,1070,11070
-1071,1071,11071
-1072,1072,11072
-1073,1073,11073
-1074,1074,11074
-1075,1075,11075
-1076,1076,11076
-1077,1077,11077
-1078,1078,11078
-1079,1079,11079
-1080,1080,11080
-1081,1081,11081
-1082,1082,11082
-1083,1083,11083
-1084,1084,11084
-1085,1085,11085
-1086,1086,11086
-1087,1087,11087
-1088,1088,11088
-1089,1089,11089
-1090,1090,11090
-1091,1091,11091
-1092,1092,11092
-1093,1093,11093
-1094,1094,11094
-1095,1095,11095
-1096,1096,11096
-1097,1097,11097
-1098,1098,11098
-1099,1099,11099
-1100,1100,11100
-1101,1101,11101
-1102,1102,11102
-1103,1103,11103
-1104,1104,11104
-1105,1105,11105
-1106,1106,11106
-1107,1107,11107
-1108,1108,11108
-1109,1109,11109
-1110,1110,11110
-1111,1111,11111
-1112,1112,11112
-1113,1113,11113
-1114,1114,11114
-1115,1115,11115
-1116,1116,11116
-1117,1117,11117
-1118,1118,11118
-1119,1119,11119
-1120,1120,11120
-1121,1121,11121
-1122,1122,11122
-1123,1123,11123
-1124,1124,11124
-1125,1125,11125
-1126,1126,11126
-1127,1127,11127
-1128,1128,11128
-1129,1129,11129
-1130,1130,11130
-1131,1131,11131
-1132,1132,11132
-1133,1133,11133
-1134,1134,11134
-1135,1135,11135
-1136,1136,11136
-1137,1137,11137
-1138,1138,11138
-1139,1139,11139
-1140,1140,11140
-1141,1141,11141
-1142,1142,11142
-1143,1143,11143
-1144,1144,11144
-1145,1145,11145
-1146,1146,11146
-1147,1147,11147
-1148,1148,11148
-1149,1149,11149
-1150,1150,11150
-1151,1151,11151
-1152,1152,11152
-1153,1153,11153
-1154,1154,11154
-1155,1155,11155
-1156,1156,11156
-1157,1157,11157
-1158,1158,11158
-1159,1159,11159
-1160,1160,11160
-1161,1161,11161
-1162,1162,11162
-1163,1163,11163
-1164,1164,11164
-1165,1165,11165
-1166,1166,11166
-1167,1167,11167
-1168,1168,11168
-1169,1169,11169
-1170,1170,11170
-1171,1171,11171
-1172,1172,11172
-1173,1173,11173
-1174,1174,11174
-1175,1175,11175
-1176,1176,11176
-1177,1177,11177
-1178,1178,11178
-1179,1179,11179
-1180,1180,11180
-1181,1181,11181
-1182,1182,11182
-1183,1183,11183
-1184,1184,11184
-1185,1185,11185
-1186,1186,11186
-1187,1187,11187
-1188,1188,11188
-1189,1189,11189
-1190,1190,11190
-1191,1191,11191
-1192,1192,11192
-1193,1193,11193
-1194,1194,11194
-1195,1195,11195
-1196,1196,11196
-1197,1197,11197
-1198,1198,11198
-1199,1199,11199
-1200,1200,11200
-1201,1201,11201
-1202,1202,11202
-1203,1203,11203
-1204,1204,11204
-1205,1205,11205
-1206,1206,11206
-1207,1207,11207
-1208,1208,11208
-1209,1209,11209
-1210,1210,11210
-1211,1211,11211
-1212,1212,11212
-1213,1213,11213
-1214,1214,11214
-1215,1215,11215
-1216,1216,11216
-1217,1217,11217
-1218,1218,11218
-1219,1219,11219
-1220,1220,11220
-1221,1221,11221
-1222,1222,11222
-1223,1223,11223
-1224,1224,11224
-1225,1225,11225
-1226,1226,11226
-1227,1227,11227
-1228,1228,11228
-1229,1229,11229
-1230,1230,11230
-1231,1231,11231
-1232,1232,11232
-1233,1233,11233
-1234,1234,11234
-1235,1235,11235
-1236,1236,11236
-1237,1237,11237
-1238,1238,11238
-1239,1239,11239
-1240,1240,11240
-1241,1241,11241
-1242,1242,11242
-1243,1243,11243
-1244,1244,11244
-1245,1245,11245
-1246,1246,11246
-1247,1247,11247
-1248,1248,11248
-1249,1249,11249
-1250,1250,11250
-1251,1251,11251
-1252,1252,11252
-1253,1253,11253
-1254,1254,11254
-1255,1255,11255
-1256,1256,11256
-1257,1257,11257
-1258,1258,11258
-1259,1259,11259
-1260,1260,11260
-1261,1261,11261
-1262,1262,11262
-1263,1263,11263
-1264,1264,11264
-1265,1265,11265
-1266,1266,11266
-1267,1267,11267
-1268,1268,11268
-1269,1269,11269
-1270,1270,11270
-1271,1271,11271
-1272,1272,11272
-1273,1273,11273
-1274,1274,11274
-1275,1275,11275
-1276,1276,11276
-1277,1277,11277
-1278,1278,11278
-1279,1279,11279
-1280,1280,11280
-1281,1281,11281
-1282,1282,11282
-1283,1283,11283
-1284,1284,11284
-1285,1285,11285
-1286,1286,11286
-1287,1287,11287
-1288,1288,11288
-1289,1289,11289
-1290,1290,11290
-1291,1291,11291
-1292,1292,11292
-1293,1293,11293
-1294,1294,11294
-1295,1295,11295
-1296,1296,11296
-1297,1297,11297
-1298,1298,11298
-1299,1299,11299
-1300,1300,11300
-1301,1301,11301
-1302,1302,11302
-1303,1303,11303
-1304,1304,11304
-1305,1305,11305
-1306,1306,11306
-1307,1307,11307
-1308,1308,11308
-1309,1309,11309
-1310,1310,11310
-1311,1311,11311
-1312,1312,11312
-1313,1313,11313
-1314,1314,11314
-1315,1315,11315
-1316,1316,11316
-1317,1317,11317
-1318,1318,11318
-1319,1319,11319
-1320,1320,11320
-1321,1321,11321
-1322,1322,11322
-1323,1323,11323
-1324,1324,11324
-1325,1325,11325
-1326,1326,11326
-1327,1327,11327
-1328,1328,11328
-1329,1329,11329
-1330,1330,11330
-1331,1331,11331
-1332,1332,11332
-1333,1333,11333
-1334,1334,11334
-1335,1335,11335
-1336,1336,11336
-1337,1337,11337
-1338,1338,11338
-1339,1339,11339
-1340,1340,11340
-1341,1341,11341
-1342,1342,11342
-1343,1343,11343
-1344,1344,11344
-1345,1345,11345
-1346,1346,11346
-1347,1347,11347
-1348,1348,11348
-1349,1349,11349
-1350,1350,11350
-1351,1351,11351
-1352,1352,11352
-1353,1353,11353
-1354,1354,11354
-1355,1355,11355
-1356,1356,11356
-1357,1357,11357
-1358,1358,11358
-1359,1359,11359
-1360,1360,11360
-1361,1361,11361
-1362,1362,11362
-1363,1363,11363
-1364,1364,11364
-1365,1365,11365
-1366,1366,11366
-1367,1367,11367
-1368,1368,11368
-1369,1369,11369
-1370,1370,11370
-1371,1371,11371
-1372,1372,11372
-1373,1373,11373
-1374,1374,11374
-1375,1375,11375
-1376,1376,11376
-1377,1377,11377
-1378,1378,11378
-1379,1379,11379
-1380,1380,11380
-1381,1381,11381
-1382,1382,11382
-1383,1383,11383
-1384,1384,11384
-1385,1385,11385
-1386,1386,11386
-1387,1387,11387
-1388,1388,11388
-1389,1389,11389
-1390,1390,11390
-1391,1391,11391
-1392,1392,11392
-1393,1393,11393
-1394,1394,11394
-1395,1395,11395
-1396,1396,11396
-1397,1397,11397
-1398,1398,11398
-1399,1399,11399
-1400,1400,11400
-1401,1401,11401
-1402,1402,11402
-1403,1403,11403
-1404,1404,11404
-1405,1405,11405
-1406,1406,11406
-1407,1407,11407
-1408,1408,11408
-1409,1409,11409
-1410,1410,11410
-1411,1411,11411
-1412,1412,11412
-1413,1413,11413
-1414,1414,11414
-1415,1415,11415
-1416,1416,11416
-1417,1417,11417
-1418,1418,11418
-1419,1419,11419
-1420,1420,11420
-1421,1421,11421
-1422,1422,11422
-1423,1423,11423
-1424,1424,11424
-1425,1425,11425
-1426,1426,11426
-1427,1427,11427
-1428,1428,11428
-1429,1429,11429
-1430,1430,11430
-1431,1431,11431
-1432,1432,11432
-1433,1433,11433
-1434,1434,11434
-1435,1435,11435
-1436,1436,11436
-1437,1437,11437
-1438,1438,11438
-1439,1439,11439
-1440,1440,11440
-1441,1441,11441
-1442,1442,11442
-1443,1443,11443
-1444,1444,11444
-1445,1445,11445
-1446,1446,11446
-1447,1447,11447
-1448,1448,11448
-1449,1449,11449
-1450,1450,11450
-1451,1451,11451
-1452,1452,11452
-1453,1453,11453
-1454,1454,11454
-1455,1455,11455
-1456,1456,11456
-1457,1457,11457
-1458,1458,11458
-1459,1459,11459
-1460,1460,11460
-1461,1461,11461
-1462,1462,11462
-1463,1463,11463
-1464,1464,11464
-1465,1465,11465
-1466,1466,11466
-1467,1467,11467
-1468,1468,11468
-1469,1469,11469
-1470,1470,11470
-1471,1471,11471
-1472,1472,11472
-1473,1473,11473
-1474,1474,11474
-1475,1475,11475
-1476,1476,11476
-1477,1477,11477
-1478,1478,11478
-1479,1479,11479
-1480,1480,11480
-1481,1481,11481
-1482,1482,11482
-1483,1483,11483
-1484,1484,11484
-1485,1485,11485
-1486,1486,11486
-1487,1487,11487
-1488,1488,11488
-1489,1489,11489
-1490,1490,11490
-1491,1491,11491
-1492,1492,11492
-1493,1493,11493
-1494,1494,11494
-1495,1495,11495
-1496,1496,11496
-1497,1497,11497
-1498,1498,11498
-1499,1499,11499
-1500,1500,11500
-1501,1501,11501
-1502,1502,11502
-1503,1503,11503
-1504,1504,11504
-1505,1505,11505
-1506,1506,11506
-1507,1507,11507
-1508,1508,11508
-1509,1509,11509
-1510,1510,11510
-1511,1511,11511
-1512,1512,11512
-1513,1513,11513
-1514,1514,11514
-1515,1515,11515
-1516,1516,11516
-1517,1517,11517
-1518,1518,11518
-1519,1519,11519
-1520,1520,11520
-1521,1521,11521
-1522,1522,11522
-1523,1523,11523
-1524,1524,11524
-1525,1525,11525
-1526,1526,11526
-1527,1527,11527
-1528,1528,11528
-1529,1529,11529
-1530,1530,11530
-1531,1531,11531
-1532,1532,11532
-1533,1533,11533
-1534,1534,11534
-1535,1535,11535
-1536,1536,11536
-1537,1537,11537
-1538,1538,11538
-1539,1539,11539
-1540,1540,11540
-1541,1541,11541
-1542,1542,11542
-1543,1543,11543
-1544,1544,11544
-1545,1545,11545
-1546,1546,11546
-1547,1547,11547
-1548,1548,11548
-1549,1549,11549
-1550,1550,11550
-1551,1551,11551
-1552,1552,11552
-1553,1553,11553
-1554,1554,11554
-1555,1555,11555
-1556,1556,11556
-1557,1557,11557
-1558,1558,11558
-1559,1559,11559
-1560,1560,11560
-1561,1561,11561
-1562,1562,11562
-1563,1563,11563
-1564,1564,11564
-1565,1565,11565
-1566,1566,11566
-1567,1567,11567
-1568,1568,11568
-1569,1569,11569
-1570,1570,11570
-1571,1571,11571
-1572,1572,11572
-1573,1573,11573
-1574,1574,11574
-1575,1575,11575
-1576,1576,11576
-1577,1577,11577
-1578,1578,11578
-1579,1579,11579
-1580,1580,11580
-1581,1581,11581
-1582,1582,11582
-1583,1583,11583
-1584,1584,11584
-1585,1585,11585
-1586,1586,11586
-1587,1587,11587
-1588,1588,11588
-1589,1589,11589
-1590,1590,11590
-1591,1591,11591
-1592,1592,11592
-1593,1593,11593
-1594,1594,11594
-1595,1595,11595
-1596,1596,11596
-1597,1597,11597
